Client Age,Cluster,Average of cans_ys_family,Family Strength
26,0,2.00,4
22,0,1.83,11
25,0,1.83,11
9,0,1.59,27
21,0,1.42,17
16,0,1.39,75
20,0,1.39,25
19,0,1.36,34
12,0,1.24,31
18,0,1.21,52
15,0,1.20,61
11,0,1.18,20
13,0,1.15,30
17,0,1.15,46
21,1,1.14,8
14,0,1.14,49
23,0,1.13,18
8,0,1.06,19
10,0,1.04,27
6,0,1.00,6
22,1,1.00,7
25,1,1.00,2
26,1,1.00,1
19,1,0.86,18
20,1,0.78,7
24,1,0.75,3
7,0,0.64,9
17,1,0.54,30
24,0,0.50,1
15,1,0.49,29
18,1,0.45,23
16,1,0.44,27
14,1,0.43,34
13,1,0.42,29
9,1,0.41,20
12,1,0.26,16
11,1,0.26,18
7,1,0.23,9
10,1,0.20,12
6,1,0.20,2
8,1,0.20,10
5,1,0.00,0
23,1,0.00,0
27,1,0.00,0
